施設CD,施設名
10212305,勤医協中央病院
10212586,光星泌尿器科医院
10212651,中野医院
10212883,深浦内科医院
10212891,松田整形外科記念病院
10212958,坂部外科医院
10212982,横山内科医院
10213048,医療法人社団　延山会　北成病院
10213154,医療法人　野中整形外科内科病院
10213204,大沼内科クリニック
10213329,医療法人社団　札幌優翔館病院
10213360,西村外科胃腸科
10213535,医療法人社団憲仁会　牧田病院
10213568,丘珠明陽医院
10213592,特定医療法人　朋友会　石金病院
10213659,小林内科医院
10213741,しんたて耳鼻咽喉科医院
10213774,おぎた眼科医院
10213782,札幌東和病院
10213816,石川内科クリニック
10213931,あら耳鼻咽喉科医院
10214061,医療法人社団　北栄会　宮岸医院
10214095,医療法人　麻生整形外科病院
10214152,社会医療法人　禎心会病院
10214178,しば小児科
10214194,医療法人社団　廣仁会　しのろ皮膚科医院
10214210,医療法人社団　北栄会　札幌新道クリニック
10214244,北愛医院
10214343,医療法人　研成会　札幌鈴木病院
10214350,医療法人社団　英仁会　札苗病院
10214483,牧田皮膚科医院
10214533,医療法人社団　西家内科
10214566,医療法人社団　祐川整形外科医院
10214574,医療法人社団　赤倉内科クリニック
10214582,医療法人社団　こんの産婦人科
10214608,医療法人社団萌水会　田所医院
10214640,医療法人社団　能戸眼科医院
10214665,医療法人社団　元町こどもの城元町こどもクリニック
10214673,医療法人社団　及川皮膚科医院
10214699,医療法人社団　瀬田石内科小児科医院
10214707,医療法人社団　佐藤診療所
10214715,医療法人社団　杏英会　安達内科医院
10214723,医療法人社団　元町整形外科
10214731,医療法人社団　明園内科小児科医院
10214756,医療法人社団　長谷川耳鼻咽喉科医院
10214764,国土交通省共済組合　北海道開発局本局支部診療所
10214798,医療法人社団　いもと耳鼻咽喉科医院
10214806,医療法人社団　栄北小児科
10214822,医療法人　育愛会　札幌東豊病院
10214863,医療法人社団　平山内科胃腸科医院
10214889,医療法人社団　こすげ内科医院
10214897,医療法人社団　池田内科
10214921,札幌第一合同庁舎診療所
10214947,医療法人社団　札幌百合の会病院
10214954,医療法人社団　田口小児科医院
10214970,医療法人社団　小野眼科医院
10214988,医療法人社団　阿部内科医院
10215001,川島内科胃腸科
10215092,医療法人社団　江口整形外科
10215118,医療法人社団　小谷内科医院
10215134,医療法人社団　たちばなこどもクリニック
10215183,医療法人社団　しのろ眼科医院
10215217,医療法人社団　田邉医院
10215225,かしま内科クリニック
10215233,医療法人社団　小池内科クリニック
10215258,医療法人社団　しぎの　外科医院
10215282,医療法人社団　西谷皮膚科医院
10215316,特定医療法人とこはる　東栄病院
10215324,医療法人社団　五稜会病院
10215332,麻生循環器内科
10215340,医療法人社団　北陽内科医院
10215407,太田内科循環器クリニック
10215415,社会医療法人　秀眸会　大塚眼科病院
10215423,医療法人社団　北札幌病院
10215431,医療法人社団　大藏会　札幌佐藤病院
10215456,医療法人社団　山本内科眼科クリニック
10215480,札幌スキンケアクリニック
10215498,長生会病院
10215514,医療法人社団　布施川内科医院
10215522,医療法人社団　小林内科小児科医院
10215589,医療法人社団　宮本内科
10215597,ひまわり内科小児科医院
10215605,医療法人社団　東豊ひふ科
10215613,医療法人　耳鼻咽喉科麻生病院
10215621,医療法人社団　栄杜会　小原病院
10215688,医療法人社団　石垣整形外科医院
10215746,医療法人社団　中鉢小児クリニック
10215761,医療法人社団　三草会　クラーク病院
10215779,医療法人　彰和会　北海道消化器科病院
10215787,医療法人社団　八田内科
10215795,医療法人社団　篠路整形外科
10215803,札幌マタニティ・ウィメンズホスピタル
10215829,小児科　高橋医院
10215845,医療法人社団　司馬内科クリニック
10215852,医療法人社団　長谷川クリニック
10215894,医療法人社団　北腎会　坂泌尿器科病院
10215910,医療法人社団　岩田産婦人科
10215951,医療法人　二樹会　足立外科クリニック
10215969,医療法人社団　寺島整形外科
10215985,医療法人社団　佐野耳鼻咽喉科
10216066,医療法人社団良和会　新琴似一条クリニック
10216074,医療法人社団　恵信会　北栄整形外科
10216082,医療法人社団　新川眼科
10216108,辻　外科医院
10216116,医療法人社団　　札幌道都病院
10216124,医療法人社団　ふるや内科
10216140,伊藤皮膚科医院
10216181,医療法人社団　川島医院
10216199,医療法人社団　あいの里内科消化器科クリニック
10216215,医療法人社団　豊生会　東苗穂病院
10216223,医療法人社団　誠心会　誠心眼科病院
10216256,医療法人社団　美加未会　モエレ外科　胃腸科
10216280,医療法人社団　慶生会　川村皮フ科医院
10216306,医療法人社団　ユーこどもクリニック
10216314,医療法人社団　太黒胃腸内科病院
10216348,北光記念病院
10216355,医療法人社団　恒心堂整形外科医院
10216363,医療法人社団　新井眼科クリニック
10216371,医療法人社団　さくま内科循環器科
10216389,医療法人社団　いけだクリニック
10216413,医療法人社団　つかざき小児科
10216439,医療法人社団　みやた胃腸科
10216447,太平高山内科クリニック
10216462,屯田ホームクリニック
10216470,川嶋泌尿器科
10216504,医療法人社団　新琴似内科クリニック
10216512,医療法人社団　石丸眼科
10216546,医療法人社団愛心館　愛心メモリアル病院
10216561,北海道泌尿器科記念病院
10216579,美香保公園クリニック
10216595,医療法人社団　早川整形外科医院
10216603,医療法人社団　北耀会　あさぶ小児科
10216629,やすおか皮膚科クリニック
10216637,医療法人社団　谷村医院サンクリニック
10216652,医療法人社団　さっぽろ麻生クリニック
10216660,医療法人社団　鈴木内科循環器クリニック
10216678,医療法人社団敬仁会　三浦医院
10216686,医療法人社団　野沢医院
10216694,公益財団法人　北海道対がん協会　札幌がん検診センター
10216785,北海道泌尿器科記念病院付属４０条クリニック
10216850,医療法人社団　元町眼科クリニック
10216868,鍋島医院
10216876,医療法人社団　石田内科小児科医院
10216892,医療法人社団　朋佑会　札幌産科婦人科
10217007,医療法人　本間皮ふ科クリニック
10217015,医療法人社団　あさつま会　あいの里整形外科
10217031,ひろせ皮フ科クリニック
10217049,医療法人　育愛会　札幌東豊病院附属　栄町産婦人科クリニック
10217072,医療法人社団　和仁会　平田内科クリニック
10217106,医療法人社団　荒木病院
10217163,医療法人社団　岡田内科呼吸器科クリニック
10217171,医療法人社団　ゆりがはら内科ケア＆クリニック
10217221,医療法人社団　めばえこどもクリニック
10217262,医療法人社団　あんざい整形外科クリニック
10217270,医療法人社団　麻生内科クリニック
10217346,医療法人社団　ポプラ小児科医院
10217353,医療法人社団　北海道こども心療内科　氏家医院
10217403,岩田外科胃腸科
10217411,川村メンタルクリニック
10217429,北大前北１８条メンタルクリニック
10217445,医療法人社団　ちいろば子供クリニック
10217452,医療法人社団　中村医院
10217460,医療法人社団　小林皮膚科クリニック
10217478,勤医協伏古１０条クリニック
10217494,医療法人社団　健志会　しのろ駅前医院
10217502,医療法人社団　元町泌尿器科
10217536,エルムの杜内科クリニック
10217544,勤医協札幌北区ぽぷらクリニック
10217585,北光記念クリニック
10217593,医療法人社団　くく耳鼻咽喉科クリニック
10217619,にしはら内科クリニック
10217635,光星メディカルクリニック
10217643,シー・エス・アイクリニック
10217668,医療法人社団　吉田医院
10217684,さっぽろ心療内科クリニック
10217700,医療法人社団　碩心会　北海道大野病院附属駅前クリニック
10217718,公益財団法人　北海道結核予防会　札幌複十字総合健診センター
10217726,医療法人社団　天祐会　札幌東皮膚科形成外科
10217734,社会医療法人　北楡会　開成病院
10217742,医療法人社団　朋仁会　整形外科北新東病院
10217791,医療法人社団　西沢内科胃腸科クリニック
10217809,医療法人社団　健守会　札幌でむら小児クリニック
10217817,医療法人社団廣仁会　北１３条内科・皮膚科クリニック
10217841,医療法人社団　ささもと眼科クリニック
10217932,医療法人社団　Ｈ・Ｎ・メディックさっぽろ東
10217940,医療法人社団　眞明会　今医院
10218005,医療法人社団　麻生外科クリニック
10218013,苗穂レディスクリニック
10218039,医療法人社団　遼風会　札幌新川整形外科
10218062,医療法人社団昇英会　いとが整形外科
10218070,医療法人社団　新琴似ファミリークリニック
10218088,医療法人社団　石川内科医院
10218096,医療法人アパンド　みみ・はな・のど横浜クリニック
10218112,医療法人社団　北２０条内科クリニック
10218138,医療法人社団　北昂会　ファミール内科
10218146,はなぶさ耳鼻咽喉科
10218161,のびるこどもクリニック
10218179,メンタルケアさっぽろ西口クリニック
10218195,医療法人　諸岡内科クリニック
10218203,医療法人社団　とんでん小児科
10218237,北海道医療大学病院
10218286,コスモ脳神経外科
10218310,ウィミンズクリニック札幌
10218328,医療法人社団　伏古レディースクリニック
10218344,医療法人社団　恵信会　環状通東整形外科
10218351,医療法人　はまなす　篠路はまなすクリニック
10218369,医療法人社団　憲和会　髙松内科クリニック
10218377,医療法人社団　札幌駅前アップルレディースクリニック
10218393,太平眼科
10218419,医療法人緑風会　新琴似皮膚科スキンケアクリニック
10218427,むぎのこ発達クリニック
10218435,新川中央眼科
10218468,医療法人社団北腎会　脳神経・放射線科クリニック
10218484,医療法人社団　浜岡皮膚科クリニック
10218492,奥泉整形外科
10218500,医療法人社団　札幌新川駅前内科
10218518,小林内科クリニック
10218526,リズミック産婦人科クリニック
10218534,医療法人社団　光星耳鼻咽喉科クリニック
10218542,医療法人社団３９会　星野泌尿器科
10218559,医療法人社団　谷口内科
10218567,医療法人社団　屯田横山眼科
10218583,医療法人社団　藤田医院
10218609,医療法人社団北夕会　メンタルケア札幌
10218617,医療法人社団北匠会　札幌北脳神経外科
10218625,医療法人社団　横山医院
10218633,医療法人社団　おおさき内科
10218641,医療法人社団　ベテル泌尿器科クリニック
10218682,医療法人社団　札幌エルプラザ阿部眼科
10218716,医療法人社団　小林皮膚科クリニック　８・３プラザ診療室
10218740,医療法人社団　おがさわら耳鼻咽喉科クリニック
10218773,医療法人社団　中野整形北クリニック
10218781,医療法人セレス　さっぽろ神経内科クリニック
10218799,医療法人社団恵信会　東区役所前整形外科
10218807,メディック北札幌
10218815,元町皮ふ科
10218922,医療法人　しのろファミリークリニック
10218930,いせ眼科クリニック
10218948,たいら耳鼻咽喉科クリニック
10218955,医療法人社団　豊生会　東苗穂たんぽぽクリニック
10218963,医療法人昭代会　新道東クリニック
10218971,みきファミリークリニック
10218989,医療法人社団豊生会　東雁来すこやかクリニック
10218997,医療法人社団　さっぽろ内科クリニック
10219003,新川耳鼻咽喉科
10219011,ひらお耳鼻咽喉科クリニック
10219029,にわ糖尿病・内科クリニック
10219037,いけだ内科循環器クリニック
10219052,医療法人　訪友会　さっぽろ在宅医療クリニック
10219060,医療法人耳鼻咽喉科麻生　耳鼻咽喉科麻生北クリニック
10219094,医療法人社団　プライマリ　さの内科循環器クリニック
10219102,医療法人社団　桜悠会　北２４条在宅クリニック
10219110,土田耳鼻咽喉科クリニック
10219144,医療法人社団　友健会　友健内科クリニック
10219177,医療法人社団　我汝会　さっぽろ病院
10219193,よしだ内科クリニック
10219201,医療法人社団　モアナ　エムズレディースクリニック
10219219,どい内科クリニック
10219227,医療法人社団　ちはる神経内科クリニック
10219235,みよか内科クリニック
10219243,栄町ファミリークリニック
10219250,医療法人社団　新川ファミリエ内科
10219268,医療法人社団　こかい耳鼻咽喉科
10219284,さわむら脳神経クリニック
10219292,医療法人社団　かしわむら耳鼻咽喉科クリニック
10219300,アリオ札幌みやじま眼科
10219318,医療法人社団悠聖会　札幌誠心クリニック
10219326,社会医療法人　康和会　札幌しらかば台篠路病院
10219334,医療法人社団東桑会　札幌北クリニック
10219342,医療法人社団ちぇりこ会　麻生レディースクリニック
10219359,あべ耳鼻咽喉科アレルギー科クリニック
10219367,栄町眼科クリニック
10219375,医療法人社団　平澤内科呼吸器科クリニック
10219383,飛騨内科クリニック
10219409,まつもとメンタルクリニック
10219417,札幌皮膚病理診断科
10219425,ながお内科循環器クリニック
10219433,アリオ札幌耳鼻咽喉科クリニック
10219441,医療法人社団昇英会整形外科新川駅いとがクリニック
10219458,くすのきこどもクリニック
10219466,札幌心臓血管クリニック
10219474,たかすぎ腎泌尿器科
10219482,医療法人社団　北進会　はなほのかクリニック
10219490,札幌かとう眼科
10219508,晴生会さっぽろ病院
10219516,しもかわ内科・循環器内科
10219532,医療法人　新産健会　ＬＳＩ札幌クリニック
10219540,医療法人社団　菊池皮膚科クリニック
10219557,北１６条内科循環器クリニック
10219565,さっぽろ元町メンタルクリニック
10219573,医療法人社団　岩田皮膚科
10219581,医療法人社団　麻生形成外科クリニック
10219599,篠路こどもクリニック
10219607,医療法人社団　リラ整形外科クリニック
10219615,医療法人社団　廣仁会　アリオ札幌皮膚科クリニック
10219623,新道東おおた内科
10219631,医療法人　札幌麻生脳神経外科病院
10219649,医療法人社団恵信会　新道東フレンド整形外科
10219656,医療法人福和会　かいせい内科医院
10219664,医療法人社団大藏会　札幌佐藤メンタルクリニック
10219672,特別養護老人ホーム大友恵愛園　医務室
10219680,東区役所前　泌尿器科・内科
10219698,ゆきあかり内科クリニック
10310422,札幌市児童心療センター
10310539,北海道社会保険病院
10310547,勤医協月寒ファミリークリニック
10311099,勤医協札幌病院
10311248,山岸医院
10311313,小林内科医院
10312246,まつぞの小児科医院
10312402,内科小児科長谷川医院
10312683,吉田内科医院
10312733,医療法人社団　同仁会　長野病院
10312816,札幌協全医院
10312923,中原小児科医院
10312956,特別養護老人ホーム清幌園医務室
10312998,社会福祉法人　美松善隣会　特別養護老人ホーム白石ハイツ医務室
10313012,グリンハイム診療所
10313061,医療法人社団　図南会　あしりべつ病院
10313392,広田医院
10313467,医療法人　白石中央病院
10313509,北郷内科医院
10313616,医療法人社団　広誠会　北ノ沢病院
10313673,長尾外科クリニック
10313798,勤医協　もみじ台内科診療所
10313855,医療法人　重仁会　大谷地病院
10313889,十五島内科医院
10314119,医療法人　柏葉脳神経外科病院
10314242,おとなし眼科医院
10314374,渡辺耳鼻咽喉科医院
10314457,定山渓病院
10314697,楠岡内科
10314705,医療法人　尚仁会　真栄病院
10314796,医療法人ときわ病院
10314887,北海道医療生協　札幌緑愛病院
10314895,小笠原医院
10314986,医療法人　五輪橋整形外科病院
10315041,三浦内科循環器クリニック
10315132,社会医療法人　恵佑会　札幌病院
10315249,社会医療法人　恵和会　西岡病院
10315256,医療法人　明和会　札幌明和病院
10315280,ノテ診療所
10315488,森林公園センタークリニック
10315637,医療法人社団　三樹会病院
10315819,医療法人社団　阿部小児科医院
10315850,医療法人社団　三上整形外科医院
10315868,財団法人　北海道労働保健管理協会　健診センター診療所
10315892,たむら内科クリニック
10315926,札幌医療生活協同組合　札幌南青洲病院
10316031,医療法人社団　展望会　展望台整形外科
10316171,医療法人社団　上村内科医院
10316197,新札幌循環器病院
10316213,医療法人社団　エス・エス・ジェイ　札幌整形循環器病院
10316221,高木内科医院
10316270,桜台クリニック
10316312,医療法人社団　胃腸科肛門科山岡医院
10316379,医療法人社団　井村外科医院
10316387,社会医療法人　蘭友会　札幌里塚病院
10316395,医療法人社団　いし胃腸科内科医院
10316403,医療法人　新札幌整形外科病院
10316437,こころのリカバリー総合支援センター
10316478,医療法人社団　大屋医院
10316486,医療法人社団　平岸本町内科クリニック
10316544,医療法人社団　上杉皮膚科医院
10316551,医療法人社団　坂井胃腸科内科医院
10316569,医療法人社団　えんどう眼科
10316577,医療法人社団ひとみ会　回明堂眼科・歯科
10316585,医療法人社団　三野医院
10316593,医療法人社団　浜田皮膚科医院
10316601,いまむら小児科診療所
10316619,神田産科婦人科クリニック
10316627,医療法人社団　夏井坂内科クリニック
10316650,医療法人社団　もいわ内科医院
10316676,医療法人　潤和会　札幌ひばりが丘病院
10316718,医療法人社団　岡小児科
10316726,医療法人社団　さとう小児科
10316783,医療法人社団　武田外科整形外科医院
10316825,医療法人社団　清田小児科医院
10316858,かわやま外科医院
10316866,医療法人　定山渓温泉病院
10316882,医療法人社団　古山小児科内科医院
10316932,医療法人社団　大橋眼科
10316940,医療法人社団　日吉会　そねざき内科小児科医院
10317005,医療法人　三和会　札幌南整形外科病院
10317013,医療法人社団　札幌清田整形外科病院
10317021,医療法人　北海道整形外科記念病院
10317096,医療法人社団　恒仁会　くまがい小児科
10317112,医療法人社団　智愛会　なかた小児科
10317138,医療法人社団　たむら小児科医院
10317146,医療法人社団　川村小児科医院
10317153,医療法人社団　ふなはし内科消化器科クリニック
10317187,医療法人社団　秀和会　いでうち内科医院
10317195,医療法人社団　十善クリニック
10317203,医療法人社団　北郷整形外科医院
10317229,医療法人社団　ひきた皮膚　泌尿器科医院
10317237,医療法人社団　西尾皮膚科医院
10317252,医療法人社団　白石こどもクリニック
10317328,医療法人社団　鈴木内科医院
10317344,札幌逓信病院
10317369,西岡第一病院
10317419,さとう循環器科内科クリニック
10317427,みなみ眼科
10317484,医療法人社団　小野内科医院
10317526,医療法人社団　豊志会肛門科なかやま病院
10317575,医療法人社団　川北内科循環器科医院
10317591,医療法人　新さっぽろ脳神経外科病院
10317609,医療法人　共栄会　札幌トロイカ病院
10317641,医療法人杏医会　札幌呼吸器科病院
10317724,医療法人社団　近藤整形外科医院
10317732,医療法人社団　北樹会病院
10317773,新札幌耳鼻咽喉科医院
10317807,医療法人社団　西岡眼科クリニック
10317831,医療法人社団　島崎外科・胃腸科
10317856,医療法人社団　厚別中央整形外科
10317872,勤医協　札幌みなみ診療所
10317898,医療法人社団　小路内科消化器クリニック
10317914,医療法人社団　増田内科クリニック
10317922,社会福祉法人　楡の会　こどもクリニック
10317989,新札幌乳腺クリニック
10318011,医療法人社団　川沿　眼科
10318037,医療法人社団　西岡こどもクリニック
10318045,医療法人社団　西岡ひふ科クリニック
10318094,秋田眼科クリニック
10318110,医療法人　小坂病院
10318136,医療法人社団　北野通り眼科
10318169,医療法人　徹仁会　厚別耳鼻咽喉科病院
10318219,医療法人社団　赤沼外科医院
10318227,医療法人社団　山中たつる小児科
10318268,特別養護老人ホームかりぷあつべつ医務室
10318276,川端医院
10318292,医療法人社団　恒仁会　新さっぽろ小児科
10318300,医療法人社団　五風会　さっぽろ　香雪病院
10318326,医療法人社団　札幌藤が丘整形外科医院
10318342,わがつまこどもクリニック
10318375,アサヒビール株式会社　北海道工場医務室
10318383,医療法人社団みはらし会　いいおか整形外科クリニック
10318417,医療法人社団　もみじ台クリニック
10318458,みなかわ眼科
10318474,たかはし整形外科医院
10318565,医療法人社団　木村医院
10318573,医療法人社団　板倉小児クリニック
10318581,医療法人社団　椿原こどもクリニック
10318615,月寒こどもクリニック
10318623,医療法人社団　青葉産婦人科クリニック
10318631,医療法人　札幌エルム病院
10318698,やまもと耳鼻咽喉科医院
10318714,医療法人社団　やなづめ内科医院
10318748,旭町医院
10318763,医療法人社団　明珠会　白石産科婦人科病院
