id	category	disease	detail
4	腫瘍性疾患　詳細	骨髄異形成関連変化随伴急性骨髄性白血病：詳細	AML arising from previous MDS または MDS/MPN
4	腫瘍性疾患　詳細	骨髄異形成関連変化随伴急性骨髄性白血病：詳細	AML with MDS-related cytogenetic changes
4	腫瘍性疾患　詳細	骨髄異形成関連変化随伴急性骨髄性白血病：詳細	未入力または未取得
5	腫瘍性疾患　詳細	急性単球性白血病：AML(M5)	M5a
5	腫瘍性疾患　詳細	急性単球性白血病：AML(M5)	M5b
5	腫瘍性疾患　詳細	急性単球性白血病：AML(M5)	不明
5	腫瘍性疾患　詳細	急性単球性白血病：AML(M5)	未入力または未取得
6	腫瘍性疾患　詳細	急性赤白血病：AML(M6)	Erythroleukemia(erythroid/myeloid) 
6	腫瘍性疾患　詳細	急性赤白血病：AML(M6)	Pure erythroid leukemia
6	腫瘍性疾患　詳細	急性赤白血病：AML(M6)	未入力または未取得
7	腫瘍性疾患　詳細	急性赤白血病：AML発病形式	de novo発症
7	腫瘍性疾患　詳細	急性赤白血病：AML発病形式	AML with prior MDS
7	腫瘍性疾患　詳細	急性赤白血病：AML発病形式	未入力または未取得
8	腫瘍性疾患　詳細	Ｔリンパ芽球性白血病／リンパ腫：詳細	T-ALL
8	腫瘍性疾患　詳細	Ｔリンパ芽球性白血病／リンパ腫：詳細	T-LBL
8	腫瘍性疾患　詳細	Ｔリンパ芽球性白血病／リンパ腫：詳細	未入力または未取得
9	腫瘍性疾患　詳細	ALL：FAB分類	L1
9	腫瘍性疾患　詳細	ALL：FAB分類	L2
9	腫瘍性疾患　詳細	ALL：FAB分類	L3
9	腫瘍性疾患　詳細	ALL：FAB分類	不明
9	腫瘍性疾患　詳細	ALL：FAB分類	未入力または未取得
10	腫瘍性疾患　詳細	ヘアリー細胞白血病：詳細	Common type
10	腫瘍性疾患　詳細	ヘアリー細胞白血病：詳細	HCL Japanese variant
10	腫瘍性疾患　詳細	ヘアリー細胞白血病：詳細	Variant HCL
10	腫瘍性疾患　詳細	ヘアリー細胞白血病：詳細	未入力または未取得
11	腫瘍性疾患　詳細	多発性骨髄腫：詳細	Bence Jones型
11	腫瘍性疾患　詳細	多発性骨髄腫：詳細	IgA
11	腫瘍性疾患　詳細	多発性骨髄腫：詳細	IgD
11	腫瘍性疾患　詳細	多発性骨髄腫：詳細	IgE
11	腫瘍性疾患　詳細	多発性骨髄腫：詳細	IgG
11	腫瘍性疾患　詳細	多発性骨髄腫：詳細	IgM
11	腫瘍性疾患　詳細	多発性骨髄腫：詳細	その他
11	腫瘍性疾患　詳細	多発性骨髄腫：詳細	非分泌型
11	腫瘍性疾患　詳細	多発性骨髄腫：詳細	未入力または未取得
12	腫瘍性疾患　詳細	濾胞性リンパ腫：詳細	grade 1
12	腫瘍性疾患　詳細	濾胞性リンパ腫：詳細	grade 2
12	腫瘍性疾患　詳細	濾胞性リンパ腫：詳細	Grade 3, but not determined a/b
12	腫瘍性疾患　詳細	濾胞性リンパ腫：詳細	grade 3a
12	腫瘍性疾患　詳細	濾胞性リンパ腫：詳細	grade 3b
12	腫瘍性疾患　詳細	濾胞性リンパ腫：詳細	not determined
12	腫瘍性疾患　詳細	濾胞性リンパ腫：詳細	未入力または未取得
13	腫瘍性疾患　詳細	濾胞性リンパ腫：国際予後因子 （FLIPI）	低危険群：0～1
13	腫瘍性疾患　詳細	濾胞性リンパ腫：国際予後因子 （FLIPI）	中危険群：2
13	腫瘍性疾患　詳細	濾胞性リンパ腫：国際予後因子 （FLIPI）	高危険群：3～
13	腫瘍性疾患　詳細	濾胞性リンパ腫：国際予後因子 （FLIPI）	不明
13	腫瘍性疾患　詳細	濾胞性リンパ腫：国際予後因子 （FLIPI）	未入力または未取得
14	腫瘍性疾患　詳細	びまん性大細胞型Ｂ細胞性リンパ腫：国際予後因子（IPI）	低危険群：0～1
14	腫瘍性疾患　詳細	びまん性大細胞型Ｂ細胞性リンパ腫：国際予後因子（IPI）	低中危険群：2
14	腫瘍性疾患　詳細	びまん性大細胞型Ｂ細胞性リンパ腫：国際予後因子（IPI）	高中危険群：3
14	腫瘍性疾患　詳細	びまん性大細胞型Ｂ細胞性リンパ腫：国際予後因子（IPI）	高危険群：4～5
14	腫瘍性疾患　詳細	びまん性大細胞型Ｂ細胞性リンパ腫：国際予後因子（IPI）	不明
14	腫瘍性疾患　詳細	びまん性大細胞型Ｂ細胞性リンパ腫：国際予後因子（IPI）	未入力または未取得
15	腫瘍性疾患　詳細	血管内大細胞型Ｂ細胞性リンパ腫：詳細	Common type
15	腫瘍性疾患　詳細	血管内大細胞型Ｂ細胞性リンパ腫：詳細	Asian variant
15	腫瘍性疾患　詳細	血管内大細胞型Ｂ細胞性リンパ腫：詳細	未入力または未取得
16	腫瘍性疾患　詳細	キャッスルマン病：詳細	単発型
16	腫瘍性疾患　詳細	キャッスルマン病：詳細	Multicentric Castleman disease(MCD)
16	腫瘍性疾患　詳細	キャッスルマン病：詳細	未入力または未取得
17	腫瘍性疾患　詳細	成人Ｔ細胞白血病リンパ腫：詳細	くすぶり型
17	腫瘍性疾患　詳細	成人Ｔ細胞白血病リンパ腫：詳細	リンパ腫型
17	腫瘍性疾患　詳細	成人Ｔ細胞白血病リンパ腫：詳細	急性型
17	腫瘍性疾患　詳細	成人Ｔ細胞白血病リンパ腫：詳細	皮膚型
17	腫瘍性疾患　詳細	成人Ｔ細胞白血病リンパ腫：詳細	慢性型
17	腫瘍性疾患　詳細	成人Ｔ細胞白血病リンパ腫：詳細	未入力または未取得
18	腫瘍性疾患　詳細	腸管症関連Ｔ細胞リンパ腫：詳細	EATL(type I EATL)
18	腫瘍性疾患　詳細	腸管症関連Ｔ細胞リンパ腫：詳細	MEITL(type II EATL)
18	腫瘍性疾患　詳細	腸管症関連Ｔ細胞リンパ腫：詳細	未入力または未取得
19	腫瘍性疾患　詳細	末梢性Ｔ細胞リンパ腫・詳細不明：詳細	Lennert (lymphoepithelioid) variant
19	腫瘍性疾患　詳細	末梢性Ｔ細胞リンパ腫・詳細不明：詳細	T-zone variant
19	腫瘍性疾患　詳細	末梢性Ｔ細胞リンパ腫・詳細不明：詳細	不明
19	腫瘍性疾患　詳細	末梢性Ｔ細胞リンパ腫・詳細不明：詳細	未入力または未取得
20	腫瘍性疾患　詳細	HL：Ann Arbor 分類病期	I期
20	腫瘍性疾患　詳細	HL：Ann Arbor 分類病期	II期
20	腫瘍性疾患　詳細	HL：Ann Arbor 分類病期	III期
20	腫瘍性疾患　詳細	HL：Ann Arbor 分類病期	IV期
20	腫瘍性疾患　詳細	HL：Ann Arbor 分類病期	未入力または未取得
21	腫瘍性疾患　詳細	HL：付加事項	E
21	腫瘍性疾患　詳細	HL：付加事項	B
21	腫瘍性疾患　詳細	HL：付加事項	X
21	腫瘍性疾患　詳細	HL：付加事項	E,B
21	腫瘍性疾患　詳細	HL：付加事項	E,X
21	腫瘍性疾患　詳細	HL：付加事項	B,X
21	腫瘍性疾患　詳細	HL：付加事項	E,B,X
21	腫瘍性疾患　詳細	HL：付加事項	未入力または未取得
22	腫瘍性疾患　詳細	HL：国際予後スコア(IPS)	0
22	腫瘍性疾患　詳細	HL：国際予後スコア(IPS)	1
22	腫瘍性疾患　詳細	HL：国際予後スコア(IPS)	2
22	腫瘍性疾患　詳細	HL：国際予後スコア(IPS)	3
22	腫瘍性疾患　詳細	HL：国際予後スコア(IPS)	4
22	腫瘍性疾患　詳細	HL：国際予後スコア(IPS)	5
22	腫瘍性疾患　詳細	HL：国際予後スコア(IPS)	6
22	腫瘍性疾患　詳細	HL：国際予後スコア(IPS)	7
22	腫瘍性疾患　詳細	HL：国際予後スコア(IPS)	未入力または未取得
23	腫瘍性疾患　詳細	免疫不全関連リンパ腫：詳細	原発性免疫不全に伴うリンパ腫
23	腫瘍性疾患　詳細	免疫不全関連リンパ腫：詳細	HIV関連リンパ腫
23	腫瘍性疾患　詳細	免疫不全関連リンパ腫：詳細	MTX関連リンパ増殖性疾患
24	非腫瘍性血液疾患　詳細	再生不良性貧血：重症度	stage1
24	非腫瘍性血液疾患　詳細	再生不良性貧血：重症度	stage2
24	非腫瘍性血液疾患　詳細	再生不良性貧血：重症度	stage3
24	非腫瘍性血液疾患　詳細	再生不良性貧血：重症度	stage4
24	非腫瘍性血液疾患　詳細	再生不良性貧血：重症度	stage5
24	非腫瘍性血液疾患　詳細	再生不良性貧血：重症度	未入力または未取得
25	非腫瘍性血液疾患　詳細	続発性赤芽球癆：原疾患	胸腺腫
25	非腫瘍性血液疾患　詳細	続発性赤芽球癆：原疾患	顆粒リンパ球増多症
25	非腫瘍性血液疾患　詳細	続発性赤芽球癆：原疾患	慢性リンパ性白血病
25	非腫瘍性血液疾患　詳細	続発性赤芽球癆：原疾患	その他
25	非腫瘍性血液疾患　詳細	続発性赤芽球癆：原疾患	未入力または未取得
26	非腫瘍性血液疾患　詳細	サラセミア：詳細	軽症型
26	非腫瘍性血液疾患　詳細	サラセミア：詳細	重症型
26	非腫瘍性血液疾患　詳細	サラセミア：詳細	未入力または未取得
27	非腫瘍性血液疾患　詳細	温式自己免疫性溶血性貧血：詳細	一次性
27	非腫瘍性血液疾患　詳細	温式自己免疫性溶血性貧血：詳細	二次性
27	非腫瘍性血液疾患　詳細	温式自己免疫性溶血性貧血：詳細	未入力または未取得
28	非腫瘍性血液疾患　詳細	温式自己免疫性溶血性貧血：二次性の詳細	薬剤性
28	非腫瘍性血液疾患　詳細	温式自己免疫性溶血性貧血：二次性の詳細	リンパ増殖性疾患
28	非腫瘍性血液疾患　詳細	温式自己免疫性溶血性貧血：二次性の詳細	その他
28	非腫瘍性血液疾患　詳細	温式自己免疫性溶血性貧血：二次性の詳細	未入力または未取得
29	非腫瘍性血液疾患　詳細	寒冷凝集素症：詳細	一次性
29	非腫瘍性血液疾患　詳細	寒冷凝集素症：詳細	二次性
29	非腫瘍性血液疾患　詳細	寒冷凝集素症：詳細	未入力または未取得
30	非腫瘍性血液疾患　詳細	寒冷凝集素症：二次性の詳細	感染症
30	非腫瘍性血液疾患　詳細	寒冷凝集素症：二次性の詳細	その他
30	非腫瘍性血液疾患　詳細	寒冷凝集素症：二次性の詳細	未入力または未取得
31	非腫瘍性血液疾患　詳細	ビタミンB12欠乏性貧血：原因	摂取不足
31	非腫瘍性血液疾患　詳細	ビタミンB12欠乏性貧血：原因	内因子の欠乏
31	非腫瘍性血液疾患　詳細	ビタミンB12欠乏性貧血：原因	未入力または未取得
32	非腫瘍性血液疾患　詳細	ビタミンB12欠乏性貧血：内因子の欠乏の詳細	特発性
32	非腫瘍性血液疾患　詳細	ビタミンB12欠乏性貧血：内因子の欠乏の詳細	続発性
32	非腫瘍性血液疾患　詳細	ビタミンB12欠乏性貧血：内因子の欠乏の詳細	未入力または未取得
33	非腫瘍性血液疾患　詳細	葉酸欠乏性貧血：原因	摂取不足
33	非腫瘍性血液疾患　詳細	葉酸欠乏性貧血：原因	吸収障害
33	非腫瘍性血液疾患　詳細	葉酸欠乏性貧血：原因	需要の増大
33	非腫瘍性血液疾患　詳細	葉酸欠乏性貧血：原因	葉酸拮抗薬
33	非腫瘍性血液疾患　詳細	葉酸欠乏性貧血：原因	未入力または未取得
34	非腫瘍性血液疾患　詳細	鉄芽球性貧血：詳細	Pure sideroblastic anemia (RARS は別項）
34	非腫瘍性血液疾患　詳細	鉄芽球性貧血：詳細	二次性
34	非腫瘍性血液疾患　詳細	鉄芽球性貧血：詳細	先天性
34	非腫瘍性血液疾患　詳細	鉄芽球性貧血：詳細	未入力または未取得
35	非腫瘍性血液疾患　詳細	急性特発性血小板減少性紫斑病：血小板数/μL	1万未満
35	非腫瘍性血液疾患　詳細	急性特発性血小板減少性紫斑病：血小板数/μL	1－3万未満
35	非腫瘍性血液疾患　詳細	急性特発性血小板減少性紫斑病：血小板数/μL	3－5万未満
35	非腫瘍性血液疾患　詳細	急性特発性血小板減少性紫斑病：血小板数/μL	5万以上
35	非腫瘍性血液疾患　詳細	急性特発性血小板減少性紫斑病：血小板数/μL	未入力または未取得
36	非腫瘍性血液疾患　詳細	急性特発性血小板減少性紫斑病：抗リン脂質抗体	陰性
36	非腫瘍性血液疾患　詳細	急性特発性血小板減少性紫斑病：抗リン脂質抗体	陽性
36	非腫瘍性血液疾患　詳細	急性特発性血小板減少性紫斑病：抗リン脂質抗体	不検
36	非腫瘍性血液疾患　詳細	急性特発性血小板減少性紫斑病：抗リン脂質抗体	なし
36	非腫瘍性血液疾患　詳細	急性特発性血小板減少性紫斑病：抗リン脂質抗体	未入力または未取得
37	非腫瘍性血液疾患　詳細	慢性特発性血小板減少性紫斑病：血小板数/μL	1万未満
37	非腫瘍性血液疾患　詳細	慢性特発性血小板減少性紫斑病：血小板数/μL	1－3万未満
37	非腫瘍性血液疾患　詳細	慢性特発性血小板減少性紫斑病：血小板数/μL	3－5万未満
37	非腫瘍性血液疾患　詳細	慢性特発性血小板減少性紫斑病：血小板数/μL	5万以上
37	非腫瘍性血液疾患　詳細	慢性特発性血小板減少性紫斑病：血小板数/μL	未入力または未取得
38	非腫瘍性血液疾患　詳細	慢性特発性血小板減少性紫斑病：抗リン脂質抗体	陰性
38	非腫瘍性血液疾患　詳細	慢性特発性血小板減少性紫斑病：抗リン脂質抗体	陽性
38	非腫瘍性血液疾患　詳細	慢性特発性血小板減少性紫斑病：抗リン脂質抗体	不検
38	非腫瘍性血液疾患　詳細	慢性特発性血小板減少性紫斑病：抗リン脂質抗体	あり
38	非腫瘍性血液疾患　詳細	慢性特発性血小板減少性紫斑病：抗リン脂質抗体	なし
38	非腫瘍性血液疾患　詳細	慢性特発性血小板減少性紫斑病：抗リン脂質抗体	未入力または未取得
39	非腫瘍性血液疾患　詳細	特発性血小板減少性紫斑病：血小板数/μL	1万未満
39	非腫瘍性血液疾患　詳細	特発性血小板減少性紫斑病：血小板数/μL	1－3万未満
39	非腫瘍性血液疾患　詳細	特発性血小板減少性紫斑病：血小板数/μL	3－5万未満
39	非腫瘍性血液疾患　詳細	特発性血小板減少性紫斑病：血小板数/μL	5万以上
39	非腫瘍性血液疾患　詳細	特発性血小板減少性紫斑病：血小板数/μL	未入力または未取得
40	非腫瘍性血液疾患　詳細	特発性血小板減少性紫斑病：抗リン脂質抗体	陰性
40	非腫瘍性血液疾患　詳細	特発性血小板減少性紫斑病：抗リン脂質抗体	陽性
40	非腫瘍性血液疾患　詳細	特発性血小板減少性紫斑病：抗リン脂質抗体	不検
40	非腫瘍性血液疾患　詳細	特発性血小板減少性紫斑病：抗リン脂質抗体	未入力または未取得
41	非腫瘍性血液疾患　詳細	エバンス症候群：血小板数/μL	1万未満
41	非腫瘍性血液疾患　詳細	エバンス症候群：血小板数/μL	1－3万未満
41	非腫瘍性血液疾患　詳細	エバンス症候群：血小板数/μL	3－5万未満
41	非腫瘍性血液疾患　詳細	エバンス症候群：血小板数/μL	5万以上
41	非腫瘍性血液疾患　詳細	エバンス症候群：血小板数/μL	未入力または未取得
42	非腫瘍性血液疾患　詳細	エバンス症候群：抗リン脂質抗体	陰性
42	非腫瘍性血液疾患　詳細	エバンス症候群：抗リン脂質抗体	陽性
42	非腫瘍性血液疾患　詳細	エバンス症候群：抗リン脂質抗体	不検
42	非腫瘍性血液疾患　詳細	エバンス症候群：抗リン脂質抗体	未入力または未取得
43	非腫瘍性血液疾患　詳細	ヘパリン起因性血小板減少症：詳細	I型
43	非腫瘍性血液疾患　詳細	ヘパリン起因性血小板減少症：詳細	II型
43	非腫瘍性血液疾患　詳細	ヘパリン起因性血小板減少症：詳細	未入力または未取得
44	非腫瘍性血液疾患　詳細	ヘパリン起因性血小板減少症：抗HIT抗体	陰性
44	非腫瘍性血液疾患　詳細	ヘパリン起因性血小板減少症：抗HIT抗体	陽性
44	非腫瘍性血液疾患　詳細	ヘパリン起因性血小板減少症：抗HIT抗体	未入力または未取得
45	非腫瘍性血液疾患　詳細	血友病Ａ：インヒビター合併	あり
45	非腫瘍性血液疾患　詳細	血友病Ａ：インヒビター合併	なし
45	非腫瘍性血液疾患　詳細	血友病Ａ：インヒビター合併	未入力または未取得
46	非腫瘍性血液疾患　詳細	血友病Ｂ：インヒビター合併	あり
46	非腫瘍性血液疾患　詳細	血友病Ｂ：インヒビター合併	なし
46	非腫瘍性血液疾患　詳細	血友病Ｂ：インヒビター合併	未入力または未取得
47	非腫瘍性血液疾患　詳細	抗リン脂質抗体症候群：分類	原発性
47	非腫瘍性血液疾患　詳細	抗リン脂質抗体症候群：分類	二次性
47	非腫瘍性血液疾患　詳細	抗リン脂質抗体症候群：分類	未入力または未取得
48	非腫瘍性血液疾患　詳細	抗リン脂質抗体症候群：合併症	動脈血栓症
48	非腫瘍性血液疾患　詳細	抗リン脂質抗体症候群：合併症	静脈血栓症
48	非腫瘍性血液疾患　詳細	抗リン脂質抗体症候群：合併症	不育症
48	非腫瘍性血液疾患　詳細	抗リン脂質抗体症候群：合併症	合併症なし
48	非腫瘍性血液疾患　詳細	抗リン脂質抗体症候群：合併症	動脈血栓症+静脈血栓症
48	非腫瘍性血液疾患　詳細	抗リン脂質抗体症候群：合併症	動脈血栓症+不育症
48	非腫瘍性血液疾患　詳細	抗リン脂質抗体症候群：合併症	静脈血栓症+不育症
48	非腫瘍性血液疾患　詳細	抗リン脂質抗体症候群：合併症	動脈血栓症+静脈血栓症+不育症
48	非腫瘍性血液疾患　詳細	抗リン脂質抗体症候群：合併症	血小板減少
48	非腫瘍性血液疾患　詳細	抗リン脂質抗体症候群：合併症	未入力または未取得
49	非腫瘍性血液疾患　詳細	無顆粒球症：無顆粒球症の原因	薬剤性
49	非腫瘍性血液疾患　詳細	無顆粒球症：無顆粒球症の原因	原因不明
49	非腫瘍性血液疾患　詳細	無顆粒球症：無顆粒球症の原因	その他原因
49	非腫瘍性血液疾患　詳細	無顆粒球症：無顆粒球症の原因	同種免疫性
49	非腫瘍性血液疾患　詳細	無顆粒球症：無顆粒球症の原因	未入力または未取得
